COMPANY,Rating,Review,Type,Old,No._of_employes
Jindal Steel and...,4.0,(2k Reviews),Private,70 years old,5k-10k Employees (India)
Huawei Technolog...,3.8,(1.7k Reviews),Private,20 years old,1k-5k Employees (India)
Tractors and Far...,4.2,(1.7k Reviews),Public,62 years old,5k-10k Employees (India)
CARS24.com,3.8,(1.7k Reviews),Private,7 years old,5k-10k Employees (India)
Team Lease,4.1,(1.7k Reviews),Public,6 years old,1k-5k Employees (India)
Torrent Pharmace...,4.1,(1.7k Reviews),Public,51 years old,5k-10k Employees (India)
Vishal Mega Mart,3.9,(1.7k Reviews),Private,14 years old,5k-10k Employees (India)
RSPL Group,4.1,(1.7k Reviews),Private,35 years old,1k-5k Employees (India)
Ceat Tyres,4.2,(1.7k Reviews),Public,64 years old,5k-10k Employees (India)
ACC,4.0,(1.7k Reviews),Public,86 years old,5k-10k Employees (India)
Rivigo,3.9,(1.7k Reviews),Private,8 years old,1k-5k Employees (India)
L&T Technology S...,3.4,(1.6k Reviews),Public,10 years old,10k-50k Employees (India)
Capita,3.9,(1.7k Reviews),Private,17 years old,1k-5k Employees (India)
Bank of America,4.5,(2.8k Reviews),Private,24 years old,10k-50k Employees (India)
Tata AIA Life In...,4.0,(1.6k Reviews),Private,21 years old,5k-10k Employees (India)
Radisson Hotels,3.8,(1.7k Reviews),Private,113 years old,10k-50k Employees (India)
Dilip Buildcon,4.1,(1.6k Reviews),Public,35 years old,10k-50k Employees (India)
KPIT Technologie...,3.6,(1.6k Reviews),Public,32 years old,5k-10k Employees (India)
Ekart Logistics,4.3,(1.6k Reviews),Private,13 years old,1k-5k Employees (India)
PNB MetLife,3.7,(1.6k Reviews),Private,21 years old,5k-10k Employees (India)
RBL Bank,3.8,(1.6k Reviews),Public,79 years old,1k-5k Employees (India)
ITC Infotech In...,3.6,(1.6k Reviews),Private,22 years old,5k-10k Employees (India)
